bisphenol,ID,ID.2,treatment,temp,exposure,temp.acute,body.mass_pre,condition,CS.slope.1,CS.slope.2,CS.slope,CS.dilution,CS.activity,LDH.slope.1,LDH.slope.2,LDH.slope,LDH.dilution,LDH.activity
BPA,BPA-28-C-1,28-C-1,28-C,28,control,28,0.46,1.866718643,0.0722,0.0644,0.0683,10,5.022058824,0.0595,0.0527,0.0561,200,82.5
BPA,BPA-28-BPA-1,28-BPA-1,28-expose,28,expose,28,0.49,2.161905834,0.067,0.0575,0.06225,10,4.577205882,0.0949,0.0791,0.087,200,127.9411765
BPA,BPA-18-BPA-12,18-BPA-12,18-expose,18,expose,18,0.43,1.592592593,0.0597,0.0538,0.05675,10,4.172794118,0.1083,0.1093,0.1088,100,80
BPA,BPA-18-C-12,18-C-12,18-C,18,control,18,0.39,1.815223976,0.0254,0.0474,0.0364,10,2.676470588,0.0661,0.0699,0.068,100,50
BPA,BPA-28-BPA-2,28-BPA-2,28-expose,28,expose,28,0.48,1.813812728,0.0748,0.0784,0.0766,10,5.632352941,0.0684,0.059,0.0637,200,93.67647059
BPA,BPA-28-C-2,28-C-2,28-C,28,control,28,0.53,2.107041107,0.0574,0.0384,0.0479,10,3.522058824,0.0574,0.0483,0.05285,200,77.72058824
BPA,BPA-18-C-13,18-C-13,18-C,18,control,18,0.54,1.903243003,0.0328,0.0288,0.0308,10,2.264705882,0.0658,0.0651,0.06545,100,48.125
BPA,BPA-18-BPA-13,18-BPA-13,18-expose,18,expose,18,0.62,2.081165453,0.0402,0.0446,0.0424,10,3.117647059,0.0907,0.0921,0.0914,100,67.20588235
BPA,BPA-28-C-3,28-C-3,28-C,28,control,28,0.44,2.235431591,0.0532,0.0511,0.05215,10,3.834558824,0.0559,0.0535,0.0547,200,80.44117647
BPA,BPA-28-BPA-3,28-BPA-3,28-expose,28,expose,28,0.5,1.967560128,0.0716,0.0723,0.07195,10,5.290441176,0.0583,0.0564,0.05735,200,84.33823529
BPA,BPA-18-BPA-14,18-BPA-14,18-expose,18,expose,18,0.5,2.206026361,0.0307,0.0338,0.03225,10,2.371323529,0.0782,0.0723,0.07525,100,55.33088235
