bisphenol,flume ID,ID,ID_2,treatment,temp,exposure,temp.acute,body.mass,length,length.2,condition,ucrit_pre,ucrit2_pre,body.mass_post,length_post,length2_post,condition_post,ucrit_post,ucrit2_post,ucrit_diff,ucrit_change
BPS,3,BPS-28-BPS-12,28-BPS-12,28-expose,28,expose,28,0.4,2.97,0.0297,1.526829855,0.3295,11.09427609,0.29,2.97,0.0297,1.106951645,0.2853,9.606060606,-1.488215484,-13.414264
BPS,4,BPS-28-C-12,28-C-12,28-C,28,control,28,0.45,2.75,0.0275,2.163786627,0.4441,16.14909091,0.43,2.93,0.0293,1.709486181,0.4252,14.51194539,-1.637145518,-10.13769462
BPS,1,BPS-28-C-8,28-C-8,28-C,28,control,18,0.55,2.9,0.029,2.255115011,0.2445,8.431034483,0.54,2.99,0.0299,2.020134078,0.2445,8.177257525,-0.253776958,-3.010033449
BPS,2,BPS-28-BPS-8,28-BPS-8,28-expose,28,expose,18,0.18,2.75,0.0275,0.865514651,0.1885,6.854545455,0.19,2.82,0.0282,0.847239658,0.1922,6.815602837,-0.038942618,-0.568128379
BPS,3,BPS-28-C-13,28-C-13,28-C,28,control,28,0.38,2.74,0.0274,1.847276512,0.327,11.93430657,0.37,2.86,0.0286,1.581625377,0.3313,11.58391608,-0.350390486,-2.935993708
BPS,4,BPS-28-BPS-13,28-BPS-13,28-expose,28,expose,28,0.39,2.67,0.0267,2.048947464,0.359,13.44569288,0.34,2.88,0.0288,1.423316401,0.3718,12.90972222,-0.535970658,-3.986188475
BPS,1,BPS-28-BPS-9,28-BPS-9,28-expose,28,expose,18,0.55,3.21,0.0321,1.662829008,0.2574,8.018691589,0.52,3.21,0.0321,1.572129244,0.2117,6.595015576,-1.423676013,-17.75446776
BPS,2,BPS-28-C-9,28-C-9,28-C,28,control,18,0.51,2.99,0.0299,1.907904407,0.249,8.327759197,0.42,3.16,0.0316,1.331030608,0.2855,9.034810127,0.70705093,8.490290284
BPS,3,BPS-28-BPS-14,28-BPS-14,28-expose,28,expose,28,0.41,2.95,0.0295,1.59704741,0.32,10.84745763,0.38,3.2,0.032,1.159667969,0.3405,10.640625,-0.20683263,-1.906738307
BPS,4,BPS-28-C-14,28-C-14,28-C,28,control,28,0.45,3.01,0.0301,1.650110497,0.4104,13.6345515,0.41,3.22,0.0322,1.228050543,0.4199,13.04037267,-0.594178829,-4.35789054
BPS,1,BPS-28-C-10,28-C-10,28-C,28,control,18,0.51,2.88,0.0288,2.134974601,0.2849,9.892361111,0.48,3.19,0.0319,1.47866294,0.2423,7.595611285,-2.296749826,-23.21740786
BPS,2,BPS-28-BPS-10,28-BPS-10,28-expose,28,expose,18,0.37,2.89,0.0289,1.532880134,0.2689,9.30449827,0.39,2.915,0.02915,1.574522713,0.2398,8.226415094,-1.078083176,-11.58668791
BPS,3,BPS-28-C-15,28-C-15,28-C,28,control,28,0.43,2.74,0.0274,2.090339211,0.357,13.02919708,0.41,2.78,0.0278,1.908312385,0.3217,11.57194245,-1.457254634,-11.18453133
BPS,4,BPS-28-BPS-15,28-BPS-15,28-expose,28,expose,28,0.34,2.79,0.0279,1.56554771,0.4033,14.45519713,0.35,3.12,0.0312,1.152402687,0.3825,12.25961538,-2.195581745,-15.18887449
BPS,1,BPS-28-C-11,28-C-11,28-C,28,control,18,0.47,2.96,0.0296,1.812269263,0.2988,10.09459459,0.43,2.96,0.0296,1.658033581,0.181,6.114864865,-3.979729725,-39.42436409
BPS,2,BPS-28-BPS-11,28-BPS-11,28-expose,28,expose,18,0.48,2.92,0.0292,1.927936311,0.2735,9.366438356,0.43,3,0.03,1.592592593,0.2242,7.473333333,-1.893105023,-20.21157831
BPS,3,BPS-28-C-6,28-C-6,28-C,28,control,28,0.37,2.73,0.0273,1.818502,0.2992,10.95970696,0.39,2.84,0.0284,1.702588074,0.3752,13.21126761,2.251560646,20.54398588
BPS,4,BPS-28-BPS-6,28-BPS-6,28-expose,28,expose,28,0.46,3.03,0.0303,1.65359803,0.4082,13.47194719,0.42,2.91,0.0291,1.704395282,0.375,12.88659794,-0.585349252,-4.344949113
BPS,1,BPS-28-BPS-12,28-BPS-12,28-expose,28,expose,18,0.44,3.02,0.0302,1.597466824,0.2423,8.023178808,0.36,2.97,0.0297,1.37414687,0.1992,6.707070707,-1.316108101,-16.40382363
BPS,2,BPS-28-C-12,28-C-12,28-C,28,control,18,0.42,2.71,0.0271,2.110286486,0.2572,9.490774908,0.42,2.93,0.0293,1.669730689,0.257,8.771331058,-0.71944385,-7.580454251
BPS,3,BPS-28-BPS-7,28-BPS-7,28-expose,28,expose,28,0.53,2.96,0.0296,2.043622786,0.348,11.75675676,0.43,2.83,0.0283,1.89718267,0.299,10.56537102,-1.191385735,-10.13362583
BPS,4,BPS-28-C-7,28-C-7,28-C,28,control,28,0.58,3.07,0.0307,2.004531416,0.3481,11.33876221,0.53,2.98,0.0298,2.002751554,0.3493,11.72147651,0.3827143,3.375274064
BPS,1,BPS-28-C-13,28-C-13,28-C,28,control,18,0.42,2.81,0.0281,1.892911591,0.2664,9.480427046,0.45,2.86,0.0286,1.923598432,0.2375,8.304195804,-1.176231242,-12.40694366
BPS,2,BPS-28-BPS-13,28-BPS-13,28-expose,28,expose,18,0.4,2.66,0.0266,2.125274745,0.2462,9.255639098,0.4,2.88,0.0288,1.674489883,0.2141,7.434027778,-1.82161132,-19.68109712
BPS,3,BPS-28-C-8,28-C-8,28-C,28,control,28,0.52,2.97,0.0297,1.984878812,0.3101,10.44107744,0.48,2.99,0.0299,1.795674736,0.369,12.34113712,1.900059684,18.19792728
BPS,4,BPS-28-BPS-8,28-BPS-8,28-expose,28,expose,28,0.2,2.79,0.0279,0.920910418,0.2865,10.2688172,0.19,2.82,0.0282,0.847239658,0.302,10.70921986,0.440402658,4.288737947
BPS,1,BPS-28-BPS-14,28-BPS-14,28-expose,28,expose,18,0.45,2.93,0.0293,1.788997167,0.2677,9.136518771,0.41,3.2,0.032,1.251220703,0.2481,7.753125,-1.383393771,-15.14136627
BPS,2,BPS-28-C-14,28-C-14,28-C,28,control,18,0.48,2.97,0.0297,1.832195826,0.2567,8.643097643,0.43,3.22,0.0322,1.287955448,0.2821,8.760869565,0.117771922,1.362612421
BPS,3,BPS-28-BPS-9,28-BPS-9,28-expose,28,expose,28,0.51,3.2,0.032,1.556396484,0.2985,9.328125,0.5,3.21,0.0321,1.511662735,0.2641,8.22741433,-1.10071067,-11.79991338
BPS,4,BPS-28-C-9,28-C-9,28-C,28,control,28,0.51,2.98,0.0298,1.927176024,0.4725,15.8557047,0.49,3.16,0.0316,1.552869043,0.4326,13.68987342,-2.165831282,-13.65963431
BPS,1,BPS-28-C-15,28-C-15,28-C,28,control,18,0.43,2.74,0.0274,2.090339211,0.281,10.25547445,0.44,2.78,0.0278,2.047944999,0.2524,9.079136691,-1.176337759,-11.47033972
BPS,2,BPS-28-BPS-15,28-BPS-15,28-expose,28,expose,18,0.38,2.74,0.0274,1.847276512,0.2656,9.693430657,0.35,3.12,0.0312,1.152402687,0.2479,7.945512821,-1.747917836,-18.0319837
BPS,3,BPS-28-C-10,28-C-10,28-C,28,control,28,0.58,2.89,0.0289,2.402893183,0.3296,11.40484429,0.53,3.19,0.0319,1.63269033,0.3637,11.40125392,-0.003590372,-0.031481096
BPS,4,BPS-28-BPS-10,28-BPS-10,28-expose,28,expose,28,0.41,2.92,0.0292,1.646778933,0.4061,13.90753425,0.38,2.915,0.02915,1.534150335,0.3721,12.76500858,-1.142525674,-8.215156256
